k,relative_error_standard,relative_error_two_pass,relative_solution_deviation
10,0.9999960892679316,0.9999960892679316,1.2356997502551392e-16
20,0.9181679714318277,0.9181679714318277,1.2093433914891139e-16
30,0.5513411536754321,0.5513411536754321,1.0081967200724383e-16
40,0.24765170067702075,0.24765170067702078,1.5531085838458538e-16
50,0.0983022449961747,0.09830224499617468,1.1049369826890081e-16
60,0.0362108222730247,0.036210822273024725,1.265361558959008e-16
70,0.010278371827654554,0.01027837182765458,1.3677878834840476e-16
80,0.002256185774329156,0.0022561857743291763,1.443641807183936e-16
90,0.0003983464625954017,0.00039834646259542545,1.256301079983537e-16
100,0.00005867912597552751,0.00005867912597556678,1.8969022077411147e-16
110,7.315032529347851e-6,7.3150325293487895e-6,1.4646171901793296e-16
120,7.721424874574607e-7,7.7214248749027e-7,1.2387283779746445e-16
130,6.097719324098605e-8,6.097719323221013e-8,1.559225060790115e-16
140,4.250913666338918e-9,4.2509136688321556e-9,1.271948696140883e-16
150,2.4207081785225563e-10,2.420708244085367e-10,1.3102727889765001e-16
160,1.18698354295322e-11,1.1869808378595703e-11,1.1885905625549828e-16
170,4.492383929591665e-13,4.4923991124587965e-13,1.2210782421118472e-16
180,2.0967257890393163e-14,2.094508559492389e-14,1.640132123266027e-16
190,8.353149534510947e-14,8.359304779564559e-14,1.6982348332493784e-16
200,9.791106021755189e-14,9.791221769947073e-14,1.4317184582693962e-16
