k,relative_error_standard,relative_error_two_pass,relative_solution_deviation
10,0.0001636978199109987,0.00016369781991100113,1.1197115518974561e-16
20,1.6106436841858187e-12,1.6106458288631136e-12,1.1425685924649486e-16
30,3.984979707258335e-15,3.983622578149154e-15,1.1233653775461676e-16
40,2.014706674297412e-15,2.0135081112308236e-15,1.1429102852596618e-16
50,3.3336833589832505e-15,3.3327405796238775e-15,1.119831940372877e-16
60,4.036007543135518e-15,4.0297377737085845e-15,1.0944616252089542e-16
70,2.7200358297932323e-15,2.717145964054625e-15,1.1046092994327373e-16
80,3.5450695387142797e-15,3.5423200948078145e-15,1.0912012588177547e-16
90,4.593137633082931e-15,4.589214814191307e-15,1.1640667904628645e-16
100,3.653506075266235e-15,3.643275219569924e-15,1.1644840546396996e-16
110,5.91029354248296e-15,5.9081202718733816e-15,1.1033780925140699e-16
120,8.136412637615412e-15,8.142719856480978e-15,1.1165484550524035e-16
130,3.311696505385966e-15,3.3098837711107072e-15,1.0766409016442294e-16
140,3.1269613424728703e-15,3.1293569838120344e-15,1.0725032375796197e-16
150,2.3636548589746642e-15,2.364777327384471e-15,1.160402710732347e-16
160,3.3592378019799168e-15,3.3585583732329746e-15,1.121457987237007e-16
170,3.4765587498633646e-15,3.482071156444359e-15,1.0694664727892646e-16
180,3.3566177517563465e-15,3.360093851155682e-15,1.1096692331069929e-16
190,3.713918671255889e-15,3.7133668846965185e-15,1.0878350145340871e-16
200,4.328039998869897e-15,4.32469399456787e-15,1.1354181260211118e-16
