k,relative_error_standard,relative_error_two_pass,solution_deviation_l2
5,0.08320593448449065,0.08320593448449067,1.2105560721431432e-15
7,0.009503785977324989,0.009503785977324987,1.3104419968999106e-15
9,0.0007020280479407494,0.0007020280479407524,1.2817394156347146e-15
11,0.000035248806554022116,0.000035248806554022204,1.3057486609314686e-15
13,1.2790510161800948e-6,1.2790510161830315e-6,1.2970073891665878e-15
15,3.530697787282009e-8,3.530697787705813e-8,1.2892291044309946e-15
17,7.675275889917504e-10,7.675275891859824e-10,1.2850173117053568e-15
19,1.322426670066052e-11,1.3224268911625845e-11,1.2638846832969545e-15
21,1.8873948270663147e-13,1.887382459464469e-13,1.2700694454277019e-15
23,2.376928882504584e-15,2.37794423199035e-15,1.2927405162856532e-15
25,2.2798484498268636e-15,2.2729262521119754e-15,1.2402987829746508e-15
27,1.6966808440617878e-15,1.695223267966989e-15,1.2716160846814196e-15
29,1.7738324392118878e-15,1.7733685910390676e-15,1.259778865111352e-15
31,3.1475886015549914e-15,3.150916161759132e-15,1.2638243068992484e-15
33,1.978192187232847e-15,1.9821873686203214e-15,1.3563617752382603e-15
35,1.6169473812365782e-15,1.6183442523438996e-15,1.2691674242545548e-15
37,3.637502918559566e-15,3.636009150246121e-15,1.2927130755764298e-15
39,2.8715072713801016e-15,2.8781970400636625e-15,1.2649740029509091e-15
41,2.2849951335179378e-15,2.2863983268013214e-15,1.3607590946491579e-15
43,2.34752316401199e-15,2.345541268346362e-15,1.3348742612890793e-15
45,2.3791811737075827e-15,2.388511071026833e-15,1.2960569867307728e-15
47,1.4765752099462712e-15,1.4744080092784782e-15,1.3210634320066324e-15
49,2.7770198277203655e-15,2.779095045366911e-15,1.2764394283481757e-15
51,2.2472499965645238e-15,2.2458575591726808e-15,1.2473290610803597e-15
53,2.577670715115691e-15,2.5787691268682396e-15,1.2557984904507787e-15
55,1.9598635939728585e-15,1.961886912297251e-15,1.2541793660587443e-15
57,2.4947055283893274e-15,2.4982890036357353e-15,1.265702575550803e-15
59,3.4967968492641814e-15,3.5013305154066006e-15,1.2447691730115056e-15
61,2.5890002556240695e-15,2.591095798842485e-15,1.2822935741081205e-15
63,4.2544562980168605e-15,4.25185456503572e-15,1.2226441020976783e-15
65,4.128970416070714e-15,4.135490137838481e-15,1.3383561730768307e-15
67,2.374204426612671e-15,2.370824431681304e-15,1.2509358813584458e-15
69,4.447762455569356e-15,4.452706508775131e-15,1.3118074292144878e-15
71,2.970636214775874e-15,2.971043231555925e-15,1.3147447245717736e-15
73,2.323798973997513e-15,2.326224730022975e-15,1.3069414374297849e-15
75,4.003546524097498e-15,4.005691803307337e-15,1.3203381380929191e-15
77,5.174424909145807e-15,5.169470065397111e-15,1.281592317169156e-15
79,3.25317722094654e-15,3.2607167246370097e-15,1.2589050170570935e-15
81,3.299992702714914e-15,3.3072752452816762e-15,1.3603871010699168e-15
83,3.814314464410727e-15,3.8136146768159886e-15,1.2400653834387229e-15
85,4.4045983839883854e-15,4.3992820904153885e-15,1.2751137070017257e-15
87,2.863525655497196e-15,2.864899352534963e-15,1.2757071107475034e-15
89,3.1338506101818996e-15,3.131609682298428e-15,1.2359084978819825e-15
91,3.5503909656283284e-15,3.5504709089259475e-15,1.3095941658990917e-15
93,2.908614441672866e-15,2.9104442872460113e-15,1.2996769334546422e-15
95,3.2143764371600154e-15,3.2165718333887344e-15,1.2547167596638261e-15
97,4.856763472258923e-15,4.858115830514906e-15,1.2840417636018377e-15
99,6.315139271201214e-15,6.324591860584029e-15,1.2745452391683858e-15
101,3.335942141988369e-15,3.3322547675502453e-15,1.2827656427516454e-15
