k,relative_error_standard,relative_error_two_pass,relative_solution_deviation
10,1.0000000002878708,1.0000000002878708,1.2286461162246422e-16
20,1.0000000002253098,1.0000000002253098,1.4529360473881186e-16
30,1.0000000016433612,1.0000000016433612,1.5425350377534825e-16
40,1.0000000009135102,1.0000000009135102,1.5492977284087925e-16
50,1.0000000060010918,1.0000000060010918,1.6076656892670354e-16
60,1.000000042943085,1.000000042943085,1.7160195369674584e-16
70,1.0000001635787348,1.0000001635787348,1.7932734973503667e-16
80,1.0000025199473401,1.0000025199473401,2.2934341253694036e-16
90,1.0000195255162994,1.0000195255162994,1.1041830672257583e-16
100,1.0000783277243361,1.0000783277243361,2.212831295161427e-16
110,1.0007205968153237,1.0007205968153237,9.304309831345548e-17
120,1.0113762433028683,1.0113762433028683,9.600729049603925e-17
130,1.08990819459261,1.08990819459261,9.608172071787035e-17
140,1.7372758288599346,1.7372758288599344,2.0001040175275027e-16
150,0.42895684699369824,0.42895684699369824,9.1905954561447e-17
160,0.025332721458175736,0.025332721458175736,9.501474997339644e-17
170,0.0029731347989155445,0.0029731347989155445,9.261537884322298e-17
180,0.00042637057006099296,0.0004263705700611228,1.585448388646746e-16
190,0.00004295202594311951,0.000042952025943119924,9.702372260505249e-17
200,6.568662179378505e-6,6.568662179378604e-6,9.050674214467292e-17
