k,relative_error_standard,relative_error_two_pass,relative_solution_deviation
10,0.7384879283259319,0.7384879283259319,1.2549156495716148e-16
20,0.4608835381466101,0.46088353814661015,1.3757827486621345e-16
30,0.2642916903012027,0.2642916903012027,1.4357331737718176e-16
40,0.138896949230866,0.138896949230866,1.5556209614720423e-16
50,0.07719303314013487,0.07719303314013484,1.8625004794375653e-16
60,0.043154682013540245,0.04315468201354024,1.6675060925669624e-16
70,0.022548122760541228,0.02254812276054121,1.699903036020247e-16
80,0.011192262003768843,0.011192262003768876,1.6688706999567122e-16
90,0.00599144916746553,0.005991449167465521,1.445091104161819e-16
100,0.0032827984750399973,0.0032827984750399787,1.8258239074495918e-16
110,0.0018781019561541067,0.0018781019561541262,1.7060684630233417e-16
120,0.0010053518834219305,0.0010053518834219242,1.570763822574859e-16
130,0.0005264909266140567,0.000526490926614039,1.525863058966527e-16
140,0.00028806143231107387,0.00028806143231104145,1.5866872892877026e-16
150,0.00014263144426895016,0.0001426314442689585,1.8260300520785851e-16
160,0.00006667754019137785,0.00006667754019133273,1.8408053440676398e-16
170,0.00003448873962792795,0.000034488739627886476,1.6239359283782853e-16
180,0.000019714696226572672,0.000019714696226602505,1.6503351005575975e-16
190,0.000011074113044211235,0.000011074113044198073,1.5599407137187773e-16
200,5.928602729984155e-6,5.928602729990004e-6,1.7152595437625297e-16
