variant,k,time_s,rss_kb
standard,100,1.753871814,530460
standard,200,3.565258322,530460
standard,300,5.296789413,530460
standard,400,7.2723401899999995,530460
standard,500,9.089345332,530460
standard,600,10.826721884,530460
standard,700,12.619452442,530460
standard,800,14.334271906,530460
standard,900,16.125440946,530460
standard,1000,18.162707747,530460
two-pass,100,3.490344953,530460
two-pass,200,7.074340955,530460
two-pass,300,10.864202971,530460
two-pass,400,14.424622759,530460
two-pass,500,17.963244814,530460
two-pass,600,21.487779561,530460
two-pass,700,24.610346302,530460
two-pass,800,16.337022628,530460
two-pass,900,17.816753472,530460
two-pass,1000,19.733009987,530460
