k,ortho_loss_standard,ortho_loss_regenerated,basis_drift_fro,solution_deviation_l2
20,1.1076469565616783e-14,1.1076469565616783e-14,0.0,0.0
40,2.235202419294173e-14,2.235202419294173e-14,0.0,0.0
60,3.833436806040412e-14,3.833436806040412e-14,0.0,0.0
80,5.230254177082569e-14,5.230254177082569e-14,0.0,0.0
100,7.327793554456164e-14,7.327793554456164e-14,0.0,0.0
120,9.101297905679007e-14,9.101297905679007e-14,0.0,0.0
140,1.0688834994148416e-13,1.0688834994148416e-13,0.0,0.0
160,1.2824506260786327e-13,1.2824506260786327e-13,0.0,0.0
180,1.5164028114188527e-13,1.5164028114188527e-13,0.0,0.0
200,1.7745232103426973e-13,1.7745232103426973e-13,0.0,0.0
220,2.0632111290054364e-13,2.0632111290054364e-13,0.0,0.0
240,2.3930852495511205e-13,2.3930852495511205e-13,0.0,0.0
260,2.8503849863272094e-13,2.8503849863272094e-13,0.0,0.0
280,3.4988592048575996e-13,3.4988592048575996e-13,0.0,0.0
300,4.3989556882881303e-13,4.3989556882881303e-13,0.0,0.0
320,5.654927381339907e-13,5.654927381339907e-13,0.0,0.0
340,7.175717096623264e-13,7.175717096623264e-13,0.0,0.0
360,1.1649774185599678e-12,1.1649774185599678e-12,0.0,0.0
380,2.0364028949563673e-12,2.0364028949563673e-12,0.0,0.0
400,3.6544921774928156e-12,3.6544921774928156e-12,0.0,0.0
420,7.356029690094296e-12,7.356029690094296e-12,0.0,0.0
440,2.0098946888901718e-11,2.0098946888901718e-11,0.0,0.0
460,5.6856986026537644e-11,5.6856986026537644e-11,0.0,0.0
480,1.0720795789960366e-10,1.0720795789960366e-10,0.0,0.0
500,2.0927336358570291e-10,2.0927336358570291e-10,0.0,0.0
520,4.228833172891886e-10,4.228833172891886e-10,0.0,0.0
540,1.0549843621570455e-9,1.0549843621570455e-9,0.0,0.0
560,2.756071485158594e-9,2.756071485158594e-9,0.0,0.0
580,8.300144811571016e-9,8.300144811571016e-9,0.0,0.0
600,3.151595999213549e-8,3.151595999213549e-8,0.0,0.0
620,1.168073228655383e-7,1.168073228655383e-7,0.0,0.0
640,4.6960405538707914e-7,4.6960405538707914e-7,0.0,0.0
660,2.1767444647468444e-6,2.1767444647468444e-6,0.0,0.0
680,8.10043712668003e-6,8.10043712668003e-6,0.0,0.0
700,0.000027462111365166813,0.000027462111365166813,0.0,0.0
720,0.00009974297305951429,0.00009974297305951429,0.0,0.0
740,0.0002546590678493615,0.0002546590678493615,0.0,0.0
760,0.000878620988750992,0.000878620988750992,0.0,0.0
780,0.004532608586558761,0.004532608586558761,0.0,0.0
800,0.02539190930672886,0.02539190930672886,0.0,0.0
820,0.13242185157448788,0.13242185157448788,0.0,0.0
840,0.5462694203560465,0.5462694203560465,0.0,0.0
860,1.3041332183509842,1.3041332183509842,0.0,0.0
880,1.7273086815234502,1.7273086815234502,0.0,0.0
900,1.9879360019291454,1.9879360019291454,0.0,0.0
920,2.0252786104462275,2.0252786104462275,0.0,0.0
940,2.314869338384867,2.314869338384867,0.0,0.0
960,2.6114770490181507,2.6114770490181507,0.0,0.0
980,2.819010789978427,2.819010789978427,0.0,0.0
1000,2.8393731442563053,2.8393731442563053,0.0,0.0
