k,ortho_loss_standard,ortho_loss_regenerated,basis_drift_fro,solution_deviation_l2
20,9.450129381865854e-15,9.450129381865854e-15,0.0,0.0
40,2.2354014346173295e-14,2.2354014346173295e-14,0.0,0.0
60,3.387185788596822e-14,3.387185788596822e-14,0.0,0.0
80,4.4809736308792625e-14,4.4809736308792625e-14,0.0,0.0
100,6.200746375824939e-14,6.200746375824939e-14,0.0,0.0
120,8.888108338584305e-14,8.888108338584305e-14,0.0,0.0
140,1.2193066691897611e-13,1.2193066691897611e-13,0.0,0.0
160,1.5507032779276705e-13,1.5507032779276705e-13,0.0,0.0
180,1.969248019096629e-13,1.969248019096629e-13,0.0,0.0
200,2.4910589452952103e-13,2.4910589452952103e-13,0.0,0.0
220,2.901562988647729e-13,2.901562988647729e-13,0.0,0.0
240,3.344351484544918e-13,3.344351484544918e-13,0.0,0.0
260,4.1014467548080063e-13,4.1014467548080063e-13,0.0,0.0
280,5.200256908125185e-13,5.200256908125185e-13,0.0,0.0
300,7.332311336798274e-13,7.332311336798274e-13,0.0,0.0
320,1.062853210561527e-12,1.062853210561527e-12,0.0,0.0
340,1.6268619853413009e-12,1.6268619853413009e-12,0.0,0.0
360,3.377242240738305e-12,3.377242240738305e-12,0.0,0.0
380,7.064171391135063e-12,7.064171391135063e-12,0.0,0.0
400,1.4341356746045474e-11,1.4341356746045474e-11,0.0,0.0
420,3.1909950774847893e-11,3.1909950774847893e-11,0.0,0.0
440,9.259458552608576e-11,9.259458552608576e-11,0.0,0.0
460,2.6561771338966103e-10,2.6561771338966103e-10,0.0,0.0
480,5.022648325314262e-10,5.022648325314262e-10,0.0,0.0
500,9.84676002772106e-10,9.84676002772106e-10,0.0,0.0
520,2.002473574077753e-9,2.002473574077753e-9,0.0,0.0
540,5.035745638030222e-9,5.035745638030222e-9,0.0,0.0
560,1.3285276323556205e-8,1.3285276323556205e-8,0.0,0.0
580,4.0218917552450096e-8,4.0218917552450096e-8,0.0,0.0
600,1.529446077100896e-7,1.529446077100896e-7,0.0,0.0
620,5.671837061618316e-7,5.671837061618316e-7,0.0,0.0
640,2.2600987795305595e-6,2.2600987795305595e-6,0.0,0.0
660,0.000010383445313023105,0.000010383445313023105,0.0,0.0
680,0.000038722773479030316,0.000038722773479030316,0.0,0.0
700,0.00013193791418680557,0.00013193791418680557,0.0,0.0
720,0.0004797943454327082,0.0004797943454327082,0.0,0.0
740,0.001244401507273318,0.001244401507273318,0.0,0.0
760,0.004383335141433543,0.004383335141433543,0.0,0.0
780,0.022501212646074593,0.022501212646074593,0.0,0.0
800,0.12430885130219783,0.12430885130219783,0.0,0.0
820,0.5905748763119408,0.5905748763119408,0.0,0.0
840,1.423512461886112,1.423512461886112,0.0,0.0
860,1.9220066252079457,1.9220066252079457,0.0,0.0
880,1.9965783409377558,1.9965783409377558,0.0,0.0
900,2.000472149553431,2.000472149553431,0.0,0.0
920,2.0110936328455087,2.0110936328455087,0.0,0.0
940,2.134679455226555,2.134679455226555,0.0,0.0
960,2.4533475323955587,2.4533475323955587,0.0,0.0
980,2.740280012429697,2.740280012429697,0.0,0.0
1000,2.9156220413753684,2.9156220413753684,0.0,0.0
