k,ortho_loss_standard,ortho_loss_regenerated,basis_drift_fro,solution_deviation_l2
20,4.149084914030744e-15,4.149084914030744e-15,0.0,0.0
30,6.856598344712944e-15,6.856598344712944e-15,0.0,0.0
40,9.553134326302647e-15,9.553134326302647e-15,0.0,0.0
50,1.3175760668220732e-14,1.3175760668220732e-14,0.0,0.0
60,1.7142644495842956e-14,1.7142644495842956e-14,0.0,0.0
70,2.0551278467352466e-14,2.0551278467352466e-14,0.0,0.0
80,2.3494638800891735e-14,2.3494638800891735e-14,0.0,0.0
90,2.6298804047428987e-14,2.6298804047428987e-14,0.0,0.0
100,3.00357411682582e-14,3.00357411682582e-14,0.0,0.0
110,3.8205876165379305e-14,3.8205876165379305e-14,0.0,0.0
120,6.465221518723578e-14,6.465221518723578e-14,0.0,0.0
130,1.5092174538753554e-13,1.5092174538753554e-13,0.0,0.0
140,4.0479614283914666e-13,4.0479614283914666e-13,0.0,0.0
150,1.090735873416693e-12,1.090735873416693e-12,0.0,0.0
160,2.9923881404710446e-12,2.9923881404710446e-12,0.0,0.0
170,8.212561143987546e-12,8.212561143987546e-12,0.0,0.0
180,2.2543305367295216e-11,2.2543305367295216e-11,0.0,0.0
190,6.120500151815013e-11,6.120500151815013e-11,0.0,0.0
200,1.657087745242877e-10,1.657087745242877e-10,0.0,0.0
210,4.4790227642471337e-10,4.4790227642471337e-10,0.0,0.0
220,1.2227738060485002e-9,1.2227738060485002e-9,0.0,0.0
230,3.3137170763198613e-9,3.3137170763198613e-9,0.0,0.0
240,8.988312888762948e-9,8.988312888762948e-9,0.0,0.0
250,2.4241053811346158e-8,2.4241053811346158e-8,0.0,0.0
260,6.637263239382377e-8,6.637263239382377e-8,0.0,0.0
270,1.8268490810530825e-7,1.8268490810530825e-7,0.0,0.0
280,5.004833617906206e-7,5.004833617906206e-7,0.0,0.0
290,1.355050120407188e-6,1.355050120407188e-6,0.0,0.0
300,3.71500457871108e-6,3.71500457871108e-6,0.0,0.0
310,0.000010232186852744365,0.000010232186852744365,0.0,0.0
320,0.000028064453230870624,0.000028064453230870624,0.0,0.0
330,0.00007667801550359114,0.00007667801550359114,0.0,0.0
340,0.00020966584739461806,0.00020966584739461806,0.0,0.0
350,0.0005766062139831984,0.0005766062139831984,0.0,0.0
360,0.0015793681377741062,0.0015793681377741062,0.0,0.0
370,0.004266930165116659,0.004266930165116659,0.0,0.0
380,0.011574175647541457,0.011574175647541457,0.0,0.0
