k,ortho_loss_standard,ortho_loss_regenerated,basis_drift_fro,solution_deviation_l2
20,1.1449059083180842e-14,1.1449059083180842e-14,0.0,0.0
40,2.2836051776018087e-14,2.2836051776018087e-14,0.0,0.0
60,3.462999927206317e-14,3.462999927206317e-14,0.0,0.0
80,4.726995959685294e-14,4.726995959685294e-14,0.0,0.0
100,6.222469515075063e-14,6.222469515075063e-14,0.0,0.0
120,8.654436997362235e-14,8.654436997362235e-14,0.0,0.0
140,1.1103498960701866e-13,1.1103498960701866e-13,0.0,0.0
160,1.345352431300445e-13,1.345352431300445e-13,0.0,0.0
180,1.5108270248376518e-13,1.5108270248376518e-13,0.0,0.0
200,1.6724646751187832e-13,1.6724646751187832e-13,0.0,0.0
220,1.8729948646537394e-13,1.8729948646537394e-13,0.0,0.0
240,2.1282905395885536e-13,2.1282905395885536e-13,0.0,0.0
260,2.5134387881803017e-13,2.5134387881803017e-13,0.0,0.0
280,3.039319080363303e-13,3.039319080363303e-13,0.0,0.0
300,3.823310817354593e-13,3.823310817354593e-13,0.0,0.0
320,5.192606542563875e-13,5.192606542563875e-13,0.0,0.0
340,6.985353516306007e-13,6.985353516306007e-13,0.0,0.0
360,1.2479984075847634e-12,1.2479984075847634e-12,0.0,0.0
380,2.1944812861633207e-12,2.1944812861633207e-12,0.0,0.0
400,3.784452220271212e-12,3.784452220271212e-12,0.0,0.0
420,6.5055625170217164e-12,6.5055625170217164e-12,0.0,0.0
440,1.2180910890397302e-11,1.2180910890397302e-11,0.0,0.0
460,2.777918252692096e-11,2.777918252692096e-11,0.0,0.0
480,6.168105891673162e-11,6.168105891673162e-11,0.0,0.0
500,1.3723296183878037e-10,1.3723296183878037e-10,0.0,0.0
520,3.231272211573449e-10,3.231272211573449e-10,0.0,0.0
540,9.103040522951739e-10,9.103040522951739e-10,0.0,0.0
560,2.722532132288776e-9,2.722532132288776e-9,0.0,0.0
580,8.324911483833203e-9,8.324911483833203e-9,0.0,0.0
600,3.06919897298197e-8,3.06919897298197e-8,0.0,0.0
620,1.101740038799453e-7,1.101740038799453e-7,0.0,0.0
640,3.6634405625868517e-7,3.6634405625868517e-7,0.0,0.0
660,1.3098691984202959e-6,1.3098691984202959e-6,0.0,0.0
680,5.087971441967423e-6,5.087971441967423e-6,0.0,0.0
700,0.00001922113583733104,0.00001922113583733104,0.0,0.0
720,0.00007062398272112754,0.00007062398272112754,0.0,0.0
740,0.00023037259925816678,0.00023037259925816678,0.0,0.0
760,0.0009780265827355834,0.0009780265827355834,0.0,0.0
780,0.004784081575141345,0.004784081575141345,0.0,0.0
800,0.023700363246985153,0.023700363246985153,0.0,0.0
820,0.09508086001383798,0.09508086001383798,0.0,0.0
840,0.43342959268060416,0.43342959268060416,0.0,0.0
860,1.2415828973390928,1.2415828973390928,0.0,0.0
880,1.8502529610265632,1.8502529610265632,0.0,0.0
900,1.9924890826557111,1.9924890826557111,0.0,0.0
920,2.0392528518464084,2.0392528518464084,0.0,0.0
940,2.4426265507085363,2.4426265507085363,0.0,0.0
960,2.8044643436967864,2.8044643436967864,0.0,0.0
980,2.827905551576878,2.827905551576878,0.0,0.0
1000,2.828715376875472,2.828715376875472,0.0,0.0
