variant,n,k,time_s,rss_kb
standard,50365,200,0.169640512,982348
two-pass,50365,200,0.158535824,890072
standard,100516,200,0.499946008,1144928
two-pass,100516,200,0.41956972,832372
standard,150632,200,0.616760735,1309408
two-pass,150632,200,0.940457441,839016
standard,200730,200,1.02904495,1469828
two-pass,200730,200,0.932909354,906456
standard,250816,200,1.3241500529999999,1632192
two-pass,250816,200,1.5268034560000001,911936
standard,300894,200,1.545646321,1798588
two-pass,300894,200,1.956279571,858948
standard,350966,200,1.796647676,1956880
two-pass,350966,200,2.207024513,924160
standard,401033,200,2.087926865,2119224
two-pass,401033,200,2.217573773,872232
standard,451095,200,2.303350555,2281508
two-pass,451095,200,2.839774349,933828
standard,501155,200,2.677135717,2443816
two-pass,501155,200,3.375238061,939272
