variant,n,k,time_s_median,time_s_stddev,rss_kb_median,rss_kb_stddev
standard,10163,500,0.0783176275,0.002476868982419069,6563072.0,12820.004992198716
two-pass,10163,500,0.0808761735,0.003920455946513995,6530554.0,37552.01652818838
standard,60400,500,0.494020584,0.0,6739232.0,0.0
two-pass,60400,500,0.541436886,0.0,6568344.0,0.0
standard,110542,500,1.795720743,0.12034305917478486,6941832.0,0.0
two-pass,110542,500,1.725287699,0.013394097685925822,6573788.0,35329.21971022475
standard,160653,500,2.7952434535,0.12601487921747437,7143832.0,0.0
two-pass,160653,500,2.619477561,0.17417147799413293,6581460.0,32766.00195324416
standard,210748,500,3.3222029290000004,0.1709225101719328,7344124.0,0.0
two-pass,210748,500,3.665945065,0.0014338060770661845,6555282.0,41676.87368313511
standard,260833,500,4.10251171,0.3630135211149712,7545644.0,0.0
two-pass,260833,500,4.909695458,0.17315683086243988,6590208.0,33120.27608580581
standard,310909,500,5.419603543,0.7574932657000751,7750044.0,0.0
two-pass,310909,500,5.78317867,0.33571642887686265,6601052.0,18.33030277982336
standard,360980,500,6.30032121,0.7480577815203382,7948552.0,0.0
two-pass,360980,500,7.157329213,0.16506935054966382,6601452.0,31486.37428052543
standard,411046,500,8.469466219,0.8443141646364994,8153188.0,0.0
two-pass,411046,500,8.182315551,0.2862053380469102,6557160.0,28546.506709811856
standard,461108,500,9.017688931,0.9577840325712604,8351396.0,0.0
two-pass,461108,500,8.7660079355,0.3418160554016844,6560984.0,0.0
