k,ortho_loss_standard,ortho_loss_regenerated,basis_drift_fro,solution_deviation_l2
20,9.582128937706465e-15,9.582128937706465e-15,0.0,5.227659802769609e-9
40,2.996211915125189e-14,2.996211915125189e-14,0.0,1.1113754261443802e-8
60,2.1443007296409975e-11,2.1443007296409975e-11,0.0,1.274694760721229e-8
80,4.635492785367304e-6,4.635492785367304e-6,0.0,1.3665780155322029e-8
100,0.40998169743275176,0.40998169743275176,0.0,1.6575341955078747e-8
120,2.3579264348890123,2.3579264348890123,0.0,1.8587741978172475e-8
140,3.7532009997635285,3.7532009997635285,0.0,1.6171575879060194e-8
160,4.493270437412068,4.493270437412068,0.0,1.6072788826219226e-8
180,4.676323793934078,4.676323793934078,0.0,1.837621514781704e-8
200,4.93437886810794,4.93437886810794,0.0,1.790709199347851e-8
220,6.618954523287862,6.618954523287862,0.0,1.9379913950276428e-8
240,7.520825835619896,7.520825835619896,0.0,1.895982997820032e-8
260,8.083284026164813,8.083284026164813,0.0,1.908055386197542e-8
280,8.64982259789816,8.64982259789816,0.0,1.95691623149713e-8
300,9.501766553181584,9.501766553181584,0.0,2.1925591869518356e-8
320,10.492658935837794,10.492658935837794,0.0,2.2306262587435407e-8
340,11.562649672994654,11.562649672994654,0.0,1.9186156689293877e-8
360,12.025267979694375,12.025267979694375,0.0,2.08209802477204e-8
380,13.066319486576225,13.066319486576225,0.0,2.3869243057836328e-8
400,14.215417932822378,14.215417932822378,0.0,2.487216881791353e-8
420,14.799186499426055,14.799186499426055,0.0,2.2928848875595647e-8
440,15.821678504776287,15.821678504776287,0.0,2.2461473202799904e-8
460,16.49317713316002,16.49317713316002,0.0,2.3204499679679437e-8
480,17.631091064840472,17.631091064840472,0.0,2.3002071834112332e-8
500,18.54100305647113,18.54100305647113,0.0,2.394366295518747e-8
