variant,k,time_s,rss_kb
standard,50,0.683905422,1269368
standard,100,1.3116003489999999,1661096
standard,150,1.958114752,2052832
standard,200,2.724408029,2444560
standard,250,3.40035994,2836296
standard,300,3.939311795,3228024
standard,350,4.640635449,3619752
standard,400,5.562384563,4011488
standard,450,5.941173436,4403216
standard,500,6.653324114,4794952
two-pass,50,0.811490806,881552
two-pass,100,1.561194987,881552
two-pass,150,2.357953842,881552
two-pass,200,3.364846988,881552
two-pass,250,3.971412868,881552
two-pass,300,4.583926401,881552
two-pass,350,5.776475378,881552
two-pass,400,6.24370402,881552
two-pass,450,6.88676361,881552
two-pass,500,7.238277432,881552
