variant,k,time_s_median,time_s_stddev,rss_kb_median,rss_kb_stddev
standard,50,0.8030737809999999,0.04849643165548586,6750612.0,0.0
two-pass,50,1.0230864510000002,0.06566001455842276,6616446.0,11.489125293076057
standard,150,2.4196505139999998,0.04851606526795963,7142144.0,0.0
two-pass,150,2.8329161330000003,0.13732668754926802,6587600.0,33305.02798877871
standard,250,4.256149743,0.40449622157041837,7533676.0,0.0
two-pass,250,4.473899275999999,0.49057584894658124,6616440.0,24926.002567599964
standard,350,6.3917855464999995,0.535168254298311,7925204.0,0.0
two-pass,350,6.251392355,0.1999929455196768,6616452.0,32738.004398557954
standard,450,7.699312772,0.5036402831109531,8316736.0,0.0
two-pass,450,8.483059146999999,0.049734752783485464,6616452.0,65490.000244312105
standard,550,9.886887704,1.0478824453370679,8708268.0,0.0
two-pass,550,10.6150894145,0.24120460790436837,6566592.0,24930.0
standard,650,11.203163982,1.4350621506088093,9099800.0,0.0
two-pass,650,11.9170900465,0.7665726336453564,6566592.0,155942.0
standard,750,13.014442782,0.11200343018578489,9491332.0,0.0
two-pass,750,12.379682046500001,0.09781905150184152,6616410.0,24914.004495463992
standard,850,14.812777006,0.4079955469382944,9882860.0,0.0
two-pass,850,14.101254672500001,0.11840517476677294,6591522.0,28786.68442179474
standard,950,17.017544318,0.8437805685656753,10274392.0,0.0
two-pass,950,17.017938026499998,1.053455445695882,6591522.0,85423.23264779904
